office_id,lead_id,month,date,closing_balance,plus_record_count,minus_record_count,data_point,diff_closing_balance,size_in_a_month,plus_record_count_in_month,minus_record_count_in_month,latest_month
2086,3863,2022-12-01,2022-12-09,3850370.000000000,1,9,True,,10,6,23,False
2086,3863,2022-12-01,2022-12-10,3850370.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-11,3850370.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-12,3820272.000000000,0,1,True,-30098.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-13,3820272.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-14,3820272.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-15,3315197.000000000,0,3,True,-505075.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-16,3315197.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-17,3315197.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-18,3315199.000000000,1,0,True,2.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-19,3282054.000000000,0,2,True,-33145.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-20,3292669.000000000,2,0,True,10615.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-21,3292669.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-22,3292669.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-23,2800850.000000000,1,3,True,-491819.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-24,2800850.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-25,2800850.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-26,2800850.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-27,2541520.000000000,0,1,True,-259330.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-28,2553862.000000000,1,0,True,12342.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-29,2553862.000000000,0,0,False,0E-9,10,6,23,False
2086,3863,2022-12-01,2022-12-30,2187087.000000000,0,4,True,-366775.000000000,10,6,23,False
2086,3863,2022-12-01,2022-12-31,2187087.000000000,0,0,False,0E-9,10,6,23,False
